καί,"and, even, also, namely"
κἀμέ,"I also, I too"
αἱρέσεως,"a self-chosen opinion, a sect"
ἀναβαίνειν,"I go up, mount, ascend"
χάλαζα,hail
φόνον,"murder, slaughter"
δωρεᾶς,a free gift
ὑπήκουσε(ν),"I listen, obey"
διαλογισμῶν,"a calculation, reasoning, thought, plotting"
ἐχάρη,"I rejoice, am glad"
ἀποκρίνεται,"I answer, reply"
γράψας,I write
ἀποκαλύψαι,"I uncover, bring to light, reveal"
γαζοφυλάκιον,a treasury
δουλεύοντες,"I am a slave, am subject to, obey"
προσκυνῆσαι,I worship
ἐργάζεσθε,"I word, trade, do"
ἀπολλύμεθα,"I destroy, lose, am perishing"
κεφαλαί,the head
χρῖσμα,an anointing
δυναμένῳ,"I am powerful, am able"
παραπορευόμενοι,I go past
θανατώσουσι(ν),"I put to death, subdue"
Πέτρε,Peter
κωφούς,"dumb, deaf"
παραβολῆς,"a parable, comparison"
φοβηθείς,"I fear, am terrified"
ἐπιστρέψῃ,I turn back to
κείμενα,"I lie, recline, am laid"
βάλω,"I cast, throw, rush, put, place, drop"
ἐχομένῃ,"I have, hold, possess"
Σόδομα,Sodom
κληρονομία,an inheritance
ὅσους,"how much, how great, how many"
ὑπάρχοντος,"I am, exist, am in possession"
ἐντάλματα,"an injunction, ordinance, precept"
Ἀχαΐας,Achaia
Στέφανον,Stephen
γάμου,"a marriage, wedding, wedding-feast"
κατάκριμα,punishment following condemnation
τρίβους,"a worn path, beaten way"
ἀσελγείᾳ,"wantonness, lewdness"
ἀναλαβόντες,"I take up, raise"
κλάδων,a branch
πόρρω,"far, far off"
ποιμένες,a shepherd
λαμπρόν,"shining, magnificent, bright"
ἀπέχει,"I have in full, am far, it is enough"
στρατηγοῖς,"a general, magistrate, captain of the temple"
συνελθόντων,"I come or go with, accompany, assemble"
αἰσχύνης,shame
ἀνοίξαντες,I open
ἐλθόντων,"I come, go"
ἀπολογίαν,a verbal defense
ἐπείθοντο,"I persuade, urge"
συνετῶν,"intelligent, prudent, wise"
ἠγανάκτησαν,"I am angry, am incensed"
κριταί,a judge
μόνους,"only, solitary, desolate"
ἀφῇ,"I send away, release, remit, forgive, permit"
γαμίζονται,"I give in marriage, marry"
πυλῶνας,"a large gate, a gateway, porch"
πύλης,"a door, gate"
ἄφνω,suddenly
καταργήσει,"I bring to naught, sever, abolish"
ἴστε,"I know, remember"
διαθήκῃ,"a covenant, will, testament"
θηρία,"a wild beast, animal"
κλέψῃς,I steal
λάβωμεν,"I receive, take"
Μιχαήλ,Michael
λογίσηται,"I reckon, count, decide"
πρέπον,"it becomes, is fitting to"
ποιοῦντι,"I do, make"
βούλεται,"I will, intend, desire"
γαμήσας,I marry
στενοχωρία,"a narrow space, great distress"
ποταπός,of what kind
Ματθάν,Matthan
Λύδδα,"Lydda, Diospolis, Lod"
θησαυρίζετε,"I store up, treasure up, save"
ἐξέλθατε,"I go out, come out"
ἐπικαλούμενον,"I call by an additional name, appeal to"
καυχήσωμαι,"I boast, glory"
ἑκουσίως,willingly
ἀγνοῶν,"I do not know, am ignorant of"
πλουσίου,rich
προσκολληθήσεται,"I join closely, cleave to"
ὑπεδέξατο,I receive as a guest
χρῆσιν,"usage, use"
ἤφιε(ν),"I send away, release, remit, forgive, permit"
βραβεῖον,a prize
Φαρισαίου,a Pharisee
κλέψεις,I steal
ἔδοξαν,"I think, seem, appear, it seems"
αἰχμαλωτίζοντες,"I take captive, subdue, ensnare"
πεποιθότες,"I persuade, urge"
ἡγεῖσθε,"I lead, think"
Μαθθίαν,Matthias
σφραγισάμενος,I set a seal upon
ἐπιτελοῦντες,"I complete, accomplish, perfect"
κλαίουσι(ν),"I weep, weep for, mourn"
δεόμενος,I bind
εὐχαριστεῖ,"I thank, give thanks"
γινώσκεται,"I come to know, learn, realize"
λυχνιῶν,a lamp-stand
ἄρθητι,"I raise, lift up"
πρώτοις,"first, before"
δεήσεως,"supplication, prayer"
τήρησον,"I keep, guard, observe"
διεσκόρπισε(ν),"I scatter, winnow, disperse, waste"
χειμών,"a tempest, the rainy season"
ἠνέχθη,"I carry, bear, bring, lead"
ὁσιότητι,"holiness, godliness, piety"
ἀντειπεῖν,"I speak or say in opposition, contradict"
κομᾷ,I wear the hair long
περιεβάλετο,"I cast around, clothe"
εὐσεβείας,"piety, godliness"
ἠλέησε(ν),"I have pity, show mercy"
Διάβολος,"slanderous, the Slanderer, the Devil"
ἕστηκας,"I cause to stand, stand"
παροιμίαις,"an allegory, proverb"
ὑψώσει,"I lift up, exalt"
ἐρχόμενα,"I come, go"
εἰδωλολάτραις,a worshipper of an image
τρίτης,third
καταγινώσκῃ,"I condemn, blame"
ἐπιλαμβάνεται,"I seize, take hold of"
θερίσομεν,"I reap, gather"
παρακαλέσῃ,"I summon, entreat, admonish, comfort"
ἄγνοιαν,ignorance
χρείαις,"need, necessity, business"
κατάρα,"a curse, cursing"
μέλανος,ink
πεποιθότας,"I persuade, urge"
ἐπιβαρῆσαι,I burden
πληρωθῆναι,"I fill, fulfill, complete"
ἐκραταιοῦτο,"I strengthen, confirm, grow strong"
προφητεύητε,"I foretell, prophesy"
ὕπνῳ,sleep
λύσας,"I loose, untie, release, destroy"
ἰᾶσθαι,I heal
τελειώσω,"I complete, accomplish, make perfect"
βλέποντας,"I look, see"
περιέτεμε(ν),I circumcise
ἁγιασμός,"sanctification, holiness"
ἡνίκα,"when, whenever"
δικαιωθήσεται,"I make righteous, defend the cause of, justify"
ἀκέραιοι,"simple, unsophisticated, innocent"
τελέσητε,"I end, accomplish, pay"
καθίσαντες,"I set, make to sit"
μυρίους,"ten thousand, innumerable"
ἔοικε(ν),"I am like, resemble"
θεραπεύετε,"I care for, attend, serve, heal"
δέησιν,"supplication, prayer"
πλουτῶν,I become rich
ἠγαπᾶτε,I love
ὑποστάσει,"assurance, substance, reality"
δακτύλῳ,a finger
ἔχθρα,"enmity, hostility"
ἀναβάντα,"I go up, mount, ascend"
ταπεινώσει,"abasement, low condition"
προσκόψῃς,I stumble
θαρρῶ,"I am courageous, of good cheer"
ἡλίῳ,"the sun, sunlight"
εὑρίσκοντες,I find
ἀτιμίας,"disgrace, dishonor"
Ἀσάφ,Asaph
σκηνώσει,"I dwell as in a tent, encamp"
πραξάντων,"I do, fare, require"
ἀπογράφεσθαι,"I enroll, inscribe in a register"
μεστή,full
πειράσαι,"I try, tempt, test"
παρεμβολῆς,"a camp, barracks, army in battle array"
ὑπέμεινε(ν),"I remain behind, endure"
κοκκίνου,crimson
προεγράφη,I write previously
Σιλουανός,Silvanus
Ἑρμῆν,Hermes
στηρίξει,"I fix firmly, strengthen"
κοινωνίᾳ,"participation, communion, fellowship"
ἐντός,"within, inside, the inside"
βουλεύομαι,"I deliberate, take counsel"
ὀθόνην,"a linen cloth, sheet"
κληρονόμον,"an heir, inheritor"
κλήσει,"a calling, summons"
κώμοις,"a feasting, reveling"
ἐγγεγραμμένη,"I write, inscribe"
ἀδικῶ,I act unjustly towards
Ἀθηνῶν,Athens
ἀσύνετοι,"unintelligent, unwise, undiscerning"
ἐκτενῶς,"earnestly, strenuously"
λεγομένης,"I say, speak"
ἱεράτευμα,the act or office of priesthood
ἠλπίκαμεν,"I hope, hope for, expect"
χλαμύδα,a short cloak
Βαρθολομαῖος,Bartholomew
ὑπομίμνῃσκε,"I remind, remember"
συνευδοκεῖ,"I consent, agree, am of one mind with"
ἐκπορεύονται,"I journey out, come forth"
ἐποτίσατε,"I cause to drink, give to drink"
ἐκφυγεῖν,"I flee out, away, I escape"
πάροινον,"given to wine, drunken"
ἀπορούμενοι,"I am in difficulties, am at my wits end"
ἐπιφανείας,"appearing, manifestation"
μυστηρίῳ,"anything hidden, a mystery"
δόκιμοι,"approved, acceptable"
ᾄδοντες,I sing
Τύρον,Tyre
ἐσταυρώσατε,I crucify
ἅψας,"I kindle, light"
περιθείς,"I put around, bestow"
θυμοί,"an outburst of passion, wrath"
ἀγοράζοντας,I buy
εἰσερχομένους,"I go in, come in, enter"
ἔκρινε(ν),"I judge, decide, think good"
ἄριστον,breakfast or a mid-day meal
κεραμέως,a potter
Ἰωράμ,"Joram, Jehoram"
ἄνυδροι,"without water, dry"
ἀναπείρους,"crippled, maimed"
ἐπίστευσας,"I believe, have faith in"
Σαλμών,Salmon
ἐπιπόθησιν,"eager longing, desire"
Γάϊον,Gaius
ἀποστασίου,"repudiation, divorce"
λῦσον,"I loose, untie, release, destroy"
εὗρες,I find
συνετήρει,"I preserve, keep safe, keep in mind"
προσερχομένους,"I come near, consent to"
Παμφυλίας,Pamphylia
ἄτεκνος,childless
τοιούτῳ,"of such a kind, such"
παράγεται,"I pass by, depart, pass away"
χαίρομεν,"I rejoice, am glad"
Κόρινθον,Corinth
συνῶσι(ν),"I consider, understand"
παραγγέλλει,"I notify, command, charge"
Θεσσαλονίκῃ,Thessalonica
ᾠδαῖς,"an ode, song"
ἀρετῇ,"virtue, moral excellence, perfection"
λελύπηκε(ν),"I pain, grieve, vex"
σέβονται,"I reverence, worship"
φανερωθῆναι,"I make clear, visible, or manifest"
ἠσθένησε(ν),"I am weak, sick"
ἀκούσετε,"I hear, listen"
ἀνοίξῃ,I open
ἐπιστᾶσα,"I stand by, am urgent, befall one, impend"
εἰσπορεύονται,"I journey into, go into"
νικήσει,"I conquer, overcome"
ἀναπαύεσθε,"I make to rest, give rest to, rest, take my ease"
ἐπάταξε(ν),I strike
ὀψαρίων,a little fish
σπειρόμενοι,"I sow, spread, scatter"
εὐώνυμον,"on the left-hand side, left"
ἀρκεῖ,"I am sufficient, I suffice, am content, satisfied"
αἰωνίαν,"eternal, unending"
ἐτέθησαν,"I put, place"
ἤγγιζε(ν),"I come near, approach"
λειπόμενοι,"I am wanting, am left behind"
ἐξανέτειλε(ν),I spring up out
ἠκολούθουν,"I accompany, attend, follow"
ἀνυποκρίτου,"unfeigned, without hypocrisy"
λύετε,"I loose, untie, release, destroy"
ἐκαθαρίσθησαν,I make clean
πλοιάρια,a little boat
καταβαίνει,"I go down, come down"
προσέκοψαν,I stumble
ἀπέκοψε(ν),"I smite, cut off, emasculate"
στῆτε,"I cause to stand, stand"
ὑπόδημα,a sandal
ἀσθενῶ,"I am weak, sick"
μῆνα,a month; certainly
Βαρσαββᾶν,Barsabbas
ἐξεκέντησαν,"I pierce through, transfix"
ἀνῆλθον,"I come up, go up"
θρίξ,a hair
νομίσητε,"I think, suppose"
λιβανωτόν,a censer
νέας,"young, new, fresh"
Παῦλε,Paul
παραβάσεων,a transgression
μακροθύμησον,"I suffer long, have patience, am forbearing"
ἀγρυπνεῖτε,I am awake
ἔστρωσαν,"I spread, make a bed"
γεμούσας,I am full of
ἐριθείας,"ambition, rivalry"
ὠτάριον,ear
ἀνήχθη,"I lead up, put to sea, set sail"
σκιάν,"a shadow, thick darkness, an outline"
συνεβουλεύσαντο,I give advice
ἐλευθερωθέντες,"I free, set free, liberate"
παρένεγκε,"I turn aside, carry away, remove"
ἐμπαίζοντες,I mock
λυθήσεται,"I loose, untie, release, destroy"
κυνάρια,a little dog
πρωΐας,early morning
Βαρθολομαῖον,Bartholomew
παραδίδοσθαι,"I hand over, deliver, betray"
στήθη,the breast
παροιμίαν,"an allegory, proverb"
ἐνετύλιξε(ν),"I wrap up, roll round, envelop"
βορρᾶ,"the north wind, the North"
κατηχούμενος,I instruct orally
ἐπέστρεψαν,I turn back to
ὑπήντησαν,I meet
πτύσας,I spit
μυριάσι(ν),"a myriad, ten thousand"
νηφαλίους,temperate
Ἐλεάζαρ,Eleazar
παλαιά,"old, ancient, worn out"
λαλιά,"speech, talk, dialect"
Ῥαάβ,Rahab
ὅπλων,"an instrument, arms, weapons"
γράψω,I write
ἅπτεσθαι,"I kindle, light"
ἐγκακοῦμεν,"I am faint, am weary"
ἅψωμαι,"I kindle, light"
πέρυσι(ν),last year
δώσεις,"I offer, give"
εἴδους,"visible form, shape, appearance, kind"
ἐπυνθάνοντο,"I ask, inquire"
Ποντίου,Pontius
στενοχωρεῖσθε,"I press upon, cramp, restrain"
λαχάνων,"an herb, garden plant"
μισθωτός,a hired servant
Θυατείροις,Thyatira
ζητημάτων,"a question, dispute"
περιτέμνεσθαι,I circumcise
λατρεύουσι(ν),"I serve, worship"
μεστούς,full
θροεῖσθε,"I disturb, agitate"
μήπω,not yet
ἠπίστουν,"I am unfaithful, I disbelieve"
προσκυνήσων,I worship
Βηθσαϊδάν,Bethsaida
ἱκαναί,"sufficient, worthy, many, much"
θάνατε,death
ἥγημαι,"I lead, think"
Κρῆτες,a Cretan
Αἰγύπτιον,Egyptian
νεανίαν,"a young man, youth"
ἐπαγγελλόμενοι,"I promise, profess"
κεκλεισμένων,"I shut, shut up"
ἔσφαξε(ν),I slay
ἀντιδίκου,"an opponent, adversary"
πράσσοντες,"I do, fare, require"
μήν,a month; certainly
κατεδικάσατε,I condemn
ἡγίασται,"I make holy, sanctify"
πέποιθε(ν),"I persuade, urge"
ἀναβλέψω,"I look up, recover my sight"
βαπτίζει,"I dip, submerge, baptize"
ἠνάγκασε(ν),"I force, compel"
Ἑλληνιστάς,"a Hellenist, Grecian Jew"
πάσχων,"I am acted upon, suffer"
τοιγαροῦν,"consequently, therefore"
τριχῶν,a hair
βασανίσῃς,"I torment, torture, buffet"
πονηρᾷ,"evil, bad, wicked"
Ἐφέσου,Ephesus
ῥύσει,"a flowing, an issue"
ἀνεθεμάτισαν,"I curse, invoke curses"
